Author,Journal,Year,Site country,Location,Latitude,Longitude,Soil information recorded in the paper,pH (surface layer),Replications in experiment,Crop,Initial year of NT practice ( or first year of experiment if missing),Sowing year,Harvest year,Years since NT started (yrs),Crop growing season recorded in the paper,Crop rotation with at least 3 crops involved in CT,Crop rotation with at least 3 crops involved in NT,Crop sequence (details),Cover crop before sowing,Soil cover in CT,Soil cover in NT,Residue management of previous crop in CT  (details),Residue management of previous crop in NT (details),Weed and pest control CT,Weed and pest control NT ,Weed and pest control CT (details),Weed and pest control NT  (details),Fertilization CT ,Fertilization NT,N input,N input rates with the unit kg N ha-1 (details),Field fertilization (details),Irrigation CT,Irrigation NT,Water applied in CT,Water applied in NT,Other information,Yield of CT,Yield of NT,Relative yield change,Yield increase with NT,Outlier of CT,Outlier of NT,Sowing month,Harvesting month,P,E,PB,Tave,Tmax,Tmin,ST
Song,Scientific Reports,2019,China,Chongming Island,31.68,121.56,Estuarine alluvial soil,8.3,3,rice,2012,2013,2013,2,to 11,No,No,rice-wheat,,No,Yes,removed,straw returned,Yes,Yes,pest controled,pest controled,Yes,Yes,Yes,,urea + superphosphate + potasium chloride + pig manure,Yes,Yes,,,"This investigation was conducted at Sanxing Experimental Station (SES) on Chongming Island (31°41′20″N, 121°33′47″E, altitude ranging from 3.5–4.5 m), China, with a rice (Oryza sativa L.) – wheat (Triticum aestivum L.) cropping rotation system. The soil in the experimental field was estuarine alluvial soil, with 15.21 g·kg−1 soil organic matter, 0.94 g·kg−1 total N, 81.62 mg·kg−1 alkali-hydrolysable N, 53.53 mg·kg−1 available P, 109.35 mg·kg−1 available K, and pH 8.30. The straw returned in the wheat season was the rice straw harvested from the previous season (C/N = 53.11, in which the contents of cellulose, hemicellulose, and lignin were 36.43%, 22.52%, and 18.69%, respectively). The straw returned in the rice season was the wheat straw harvested from the previous season (C/N = 81.72, in which the contents of cellulose, hemicellulose, and lignin were 33.62%, 22.53%, and 18.45%, respectively). N, P and K were supplied through urea (N-46%), calcium superphosphate (P2O5–46%), and potassium chloride (K2O-60%). Organic fertilizer was decomposed pig manure. The contents of N, P, and K in the organic fertilizer were 10.52 mg·kg−1 N, 20.47 mg·kg−1 P2O5, and 15.13 mg·kg−1 K2O, respectively. The experiment began in October 2012 and included a total of nine treatments combining different tillage systems, fertilization types, and the presence/absence of straw return (Table 1). Each treatment included three replications and was set up in a single-factor random block design. Each plot was 40 m long and 6 m wide, with an area of 240 m2. The ridges between the plots and the irrigation/ drainage ditch ridges between the blocks were separated by plastic film. The chemical fertilizer application rates in the rice season were 225 kg·hm−2 N, 90 kg·hm−2 P2O5, and 90 kg·hm−2 K2O, and the application rates in the wheat season were 270 kg·hm−2 N, 60 kg·hm−2 P2O5, and 90 kg·hm−2 K2O. The application rate of organic fertilizer was 12,500 kg·hm−2 in both the rice and wheat seasons. Straw, organic fertilizer, P fertilizer, and K fertilizer as base fertilizers were applied once before planting in each crop season. The N fertilizer included two parts, base fertilizer and topdressing. To each plot, 60% of the N and all of the P, K and organic fertilizers were applied before sowing in the rice season. The remaining N was applied in two equal parts 20 and 60 days after sowing. In the wheat season, 60% of the N and all of the P, K and organic fertilizers were applied before sowing. The remaining N was applied in equal amounts 10, 30 and 60 days after sowing. Field management and pest control were performed according to the local management routines. The soil samples were collected in September 2012 before the start of the experiment. During the experiment, soil samples were collected in the topsoil (0–20 cm) and subsoil (20–40 cm) by a 5-cm-diameter corer in each plot after the wheat harvest (in June 2013, June 2014, and June 2015) and after the rice harvest (in November 2013, November 2014, and November 2015). ",11300,10400,-0.0796,No,,,5,9,542.4,502.767,39.633,26.6,36.46287,18.11973,Loam
Song,Scientific Reports,2019,China,Chongming Island,31.68,121.56,Estuarine alluvial soil,8.3,3,rice,2012,2014,2014,3,to 11,No,No,rice-wheat,,No,No,removed,removed,Yes,Yes,pest controled,pest controled,Yes,Yes,Yes,,urea + superphosphate + potasium chloride + pig manure,Yes,Yes,,,"This investigation was conducted at Sanxing Experimental Station (SES) on Chongming Island (31°41′20″N, 121°33′47″E, altitude ranging from 3.5–4.5 m), China, with a rice (Oryza sativa L.) – wheat (Triticum aestivum L.) cropping rotation system. The soil in the experimental field was estuarine alluvial soil, with 15.21 g·kg−1 soil organic matter, 0.94 g·kg−1 total N, 81.62 mg·kg−1 alkali-hydrolysable N, 53.53 mg·kg−1 available P, 109.35 mg·kg−1 available K, and pH 8.30. The straw returned in the wheat season was the rice straw harvested from the previous season (C/N = 53.11, in which the contents of cellulose, hemicellulose, and lignin were 36.43%, 22.52%, and 18.69%, respectively). The straw returned in the rice season was the wheat straw harvested from the previous season (C/N = 81.72, in which the contents of cellulose, hemicellulose, and lignin were 33.62%, 22.53%, and 18.45%, respectively). N, P and K were supplied through urea (N-46%), calcium superphosphate (P2O5–46%), and potassium chloride (K2O-60%). Organic fertilizer was decomposed pig manure. The contents of N, P, and K in the organic fertilizer were 10.52 mg·kg−1 N, 20.47 mg·kg−1 P2O5, and 15.13 mg·kg−1 K2O, respectively. The experiment began in October 2012 and included a total of nine treatments combining different tillage systems, fertilization types, and the presence/absence of straw return (Table 1). Each treatment included three replications and was set up in a single-factor random block design. Each plot was 40 m long and 6 m wide, with an area of 240 m2. The ridges between the plots and the irrigation/ drainage ditch ridges between the blocks were separated by plastic film. The chemical fertilizer application rates in the rice season were 225 kg·hm−2 N, 90 kg·hm−2 P2O5, and 90 kg·hm−2 K2O, and the application rates in the wheat season were 270 kg·hm−2 N, 60 kg·hm−2 P2O5, and 90 kg·hm−2 K2O. The application rate of organic fertilizer was 12,500 kg·hm−2 in both the rice and wheat seasons. Straw, organic fertilizer, P fertilizer, and K fertilizer as base fertilizers were applied once before planting in each crop season. The N fertilizer included two parts, base fertilizer and topdressing. To each plot, 60% of the N and all of the P, K and organic fertilizers were applied before sowing in the rice season. The remaining N was applied in two equal parts 20 and 60 days after sowing. In the wheat season, 60% of the N and all of the P, K and organic fertilizers were applied before sowing. The remaining N was applied in equal amounts 10, 30 and 60 days after sowing. Field management and pest control were performed according to the local management routines. The soil samples were collected in September 2012 before the start of the experiment. During the experiment, soil samples were collected in the topsoil (0–20 cm) and subsoil (20–40 cm) by a 5-cm-diameter corer in each plot after the wheat harvest (in June 2013, June 2014, and June 2015) and after the rice harvest (in November 2013, November 2014, and November 2015). ",11600,10200,-0.1207,No,,,5,9,936.4,421.363,515.037,24.7,31.05454,18.21329,Loam
Song,Scientific Reports,2019,China,Chongming Island,31.68,121.56,Estuarine alluvial soil,8.3,3,rice,2012,2014,2014,3,to 11,No,No,rice-wheat,,No,Yes,removed,straw returned,Yes,Yes,pest controled,pest controled,Yes,Yes,Yes,,urea + superphosphate + potasium chloride + pig manure,Yes,Yes,,,"This investigation was conducted at Sanxing Experimental Station (SES) on Chongming Island (31°41′20″N, 121°33′47″E, altitude ranging from 3.5–4.5 m), China, with a rice (Oryza sativa L.) – wheat (Triticum aestivum L.) cropping rotation system. The soil in the experimental field was estuarine alluvial soil, with 15.21 g·kg−1 soil organic matter, 0.94 g·kg−1 total N, 81.62 mg·kg−1 alkali-hydrolysable N, 53.53 mg·kg−1 available P, 109.35 mg·kg−1 available K, and pH 8.30. The straw returned in the wheat season was the rice straw harvested from the previous season (C/N = 53.11, in which the contents of cellulose, hemicellulose, and lignin were 36.43%, 22.52%, and 18.69%, respectively). The straw returned in the rice season was the wheat straw harvested from the previous season (C/N = 81.72, in which the contents of cellulose, hemicellulose, and lignin were 33.62%, 22.53%, and 18.45%, respectively). N, P and K were supplied through urea (N-46%), calcium superphosphate (P2O5–46%), and potassium chloride (K2O-60%). Organic fertilizer was decomposed pig manure. The contents of N, P, and K in the organic fertilizer were 10.52 mg·kg−1 N, 20.47 mg·kg−1 P2O5, and 15.13 mg·kg−1 K2O, respectively. The experiment began in October 2012 and included a total of nine treatments combining different tillage systems, fertilization types, and the presence/absence of straw return (Table 1). Each treatment included three replications and was set up in a single-factor random block design. Each plot was 40 m long and 6 m wide, with an area of 240 m2. The ridges between the plots and the irrigation/ drainage ditch ridges between the blocks were separated by plastic film. The chemical fertilizer application rates in the rice season were 225 kg·hm−2 N, 90 kg·hm−2 P2O5, and 90 kg·hm−2 K2O, and the application rates in the wheat season were 270 kg·hm−2 N, 60 kg·hm−2 P2O5, and 90 kg·hm−2 K2O. The application rate of organic fertilizer was 12,500 kg·hm−2 in both the rice and wheat seasons. Straw, organic fertilizer, P fertilizer, and K fertilizer as base fertilizers were applied once before planting in each crop season. The N fertilizer included two parts, base fertilizer and topdressing. To each plot, 60% of the N and all of the P, K and organic fertilizers were applied before sowing in the rice season. The remaining N was applied in two equal parts 20 and 60 days after sowing. In the wheat season, 60% of the N and all of the P, K and organic fertilizers were applied before sowing. The remaining N was applied in equal amounts 10, 30 and 60 days after sowing. Field management and pest control were performed according to the local management routines. The soil samples were collected in September 2012 before the start of the experiment. During the experiment, soil samples were collected in the topsoil (0–20 cm) and subsoil (20–40 cm) by a 5-cm-diameter corer in each plot after the wheat harvest (in June 2013, June 2014, and June 2015) and after the rice harvest (in November 2013, November 2014, and November 2015). ",11000,9600,-0.1273,No,,,5,9,936.4,421.363,515.037,24.7,31.05454,18.21329,Loam
Song,Scientific Reports,2019,China,Chongming Island,31.68,121.56,Estuarine alluvial soil,8.3,3,rice,2012,2014,2014,3,to 11,No,No,rice-wheat,,No,Yes,removed,straw returned,Yes,Yes,pest controled,pest controled,Yes,Yes,Yes,,urea + superphosphate + potasium chloride + pig manure,Yes,Yes,,,"This investigation was conducted at Sanxing Experimental Station (SES) on Chongming Island (31°41′20″N, 121°33′47″E, altitude ranging from 3.5–4.5 m), China, with a rice (Oryza sativa L.) – wheat (Triticum aestivum L.) cropping rotation system. The soil in the experimental field was estuarine alluvial soil, with 15.21 g·kg−1 soil organic matter, 0.94 g·kg−1 total N, 81.62 mg·kg−1 alkali-hydrolysable N, 53.53 mg·kg−1 available P, 109.35 mg·kg−1 available K, and pH 8.30. The straw returned in the wheat season was the rice straw harvested from the previous season (C/N = 53.11, in which the contents of cellulose, hemicellulose, and lignin were 36.43%, 22.52%, and 18.69%, respectively). The straw returned in the rice season was the wheat straw harvested from the previous season (C/N = 81.72, in which the contents of cellulose, hemicellulose, and lignin were 33.62%, 22.53%, and 18.45%, respectively). N, P and K were supplied through urea (N-46%), calcium superphosphate (P2O5–46%), and potassium chloride (K2O-60%). Organic fertilizer was decomposed pig manure. The contents of N, P, and K in the organic fertilizer were 10.52 mg·kg−1 N, 20.47 mg·kg−1 P2O5, and 15.13 mg·kg−1 K2O, respectively. The experiment began in October 2012 and included a total of nine treatments combining different tillage systems, fertilization types, and the presence/absence of straw return (Table 1). Each treatment included three replications and was set up in a single-factor random block design. Each plot was 40 m long and 6 m wide, with an area of 240 m2. The ridges between the plots and the irrigation/ drainage ditch ridges between the blocks were separated by plastic film. The chemical fertilizer application rates in the rice season were 225 kg·hm−2 N, 90 kg·hm−2 P2O5, and 90 kg·hm−2 K2O, and the application rates in the wheat season were 270 kg·hm−2 N, 60 kg·hm−2 P2O5, and 90 kg·hm−2 K2O. The application rate of organic fertilizer was 12,500 kg·hm−2 in both the rice and wheat seasons. Straw, organic fertilizer, P fertilizer, and K fertilizer as base fertilizers were applied once before planting in each crop season. The N fertilizer included two parts, base fertilizer and topdressing. To each plot, 60% of the N and all of the P, K and organic fertilizers were applied before sowing in the rice season. The remaining N was applied in two equal parts 20 and 60 days after sowing. In the wheat season, 60% of the N and all of the P, K and organic fertilizers were applied before sowing. The remaining N was applied in equal amounts 10, 30 and 60 days after sowing. Field management and pest control were performed according to the local management routines. The soil samples were collected in September 2012 before the start of the experiment. During the experiment, soil samples were collected in the topsoil (0–20 cm) and subsoil (20–40 cm) by a 5-cm-diameter corer in each plot after the wheat harvest (in June 2013, June 2014, and June 2015) and after the rice harvest (in November 2013, November 2014, and November 2015). ",11600,10800,-0.069,No,,,5,9,936.4,421.363,515.037,24.7,31.05454,18.21329,Loam
Song,Scientific Reports,2019,China,Chongming Island,31.68,121.56,Estuarine alluvial soil,8.3,3,rice,2012,2015,2015,4,to 11,No,No,rice-wheat,,No,No,removed,removed,Yes,Yes,pest controled,pest controled,Yes,Yes,Yes,,urea + superphosphate + potasium chloride + pig manure,Yes,Yes,,,"This investigation was conducted at Sanxing Experimental Station (SES) on Chongming Island (31°41′20″N, 121°33′47″E, altitude ranging from 3.5–4.5 m), China, with a rice (Oryza sativa L.) – wheat (Triticum aestivum L.) cropping rotation system. The soil in the experimental field was estuarine alluvial soil, with 15.21 g·kg−1 soil organic matter, 0.94 g·kg−1 total N, 81.62 mg·kg−1 alkali-hydrolysable N, 53.53 mg·kg−1 available P, 109.35 mg·kg−1 available K, and pH 8.30. The straw returned in the wheat season was the rice straw harvested from the previous season (C/N = 53.11, in which the contents of cellulose, hemicellulose, and lignin were 36.43%, 22.52%, and 18.69%, respectively). The straw returned in the rice season was the wheat straw harvested from the previous season (C/N = 81.72, in which the contents of cellulose, hemicellulose, and lignin were 33.62%, 22.53%, and 18.45%, respectively). N, P and K were supplied through urea (N-46%), calcium superphosphate (P2O5–46%), and potassium chloride (K2O-60%). Organic fertilizer was decomposed pig manure. The contents of N, P, and K in the organic fertilizer were 10.52 mg·kg−1 N, 20.47 mg·kg−1 P2O5, and 15.13 mg·kg−1 K2O, respectively. The experiment began in October 2012 and included a total of nine treatments combining different tillage systems, fertilization types, and the presence/absence of straw return (Table 1). Each treatment included three replications and was set up in a single-factor random block design. Each plot was 40 m long and 6 m wide, with an area of 240 m2. The ridges between the plots and the irrigation/ drainage ditch ridges between the blocks were separated by plastic film. The chemical fertilizer application rates in the rice season were 225 kg·hm−2 N, 90 kg·hm−2 P2O5, and 90 kg·hm−2 K2O, and the application rates in the wheat season were 270 kg·hm−2 N, 60 kg·hm−2 P2O5, and 90 kg·hm−2 K2O. The application rate of organic fertilizer was 12,500 kg·hm−2 in both the rice and wheat seasons. Straw, organic fertilizer, P fertilizer, and K fertilizer as base fertilizers were applied once before planting in each crop season. The N fertilizer included two parts, base fertilizer and topdressing. To each plot, 60% of the N and all of the P, K and organic fertilizers were applied before sowing in the rice season. The remaining N was applied in two equal parts 20 and 60 days after sowing. In the wheat season, 60% of the N and all of the P, K and organic fertilizers were applied before sowing. The remaining N was applied in equal amounts 10, 30 and 60 days after sowing. Field management and pest control were performed according to the local management routines. The soil samples were collected in September 2012 before the start of the experiment. During the experiment, soil samples were collected in the topsoil (0–20 cm) and subsoil (20–40 cm) by a 5-cm-diameter corer in each plot after the wheat harvest (in June 2013, June 2014, and June 2015) and after the rice harvest (in November 2013, November 2014, and November 2015). ",12300,11500,-0.065,No,,,5,9,838.1,440.514,397.586,24.72,31.38759,17.53496,Loam
Song,Scientific Reports,2019,China,Chongming Island,31.68,121.56,Estuarine alluvial soil,8.3,3,rice,2012,2015,2015,4,to 11,No,No,rice-wheat,,No,Yes,removed,straw returned,Yes,Yes,pest controled,pest controled,Yes,Yes,Yes,,urea + superphosphate + potasium chloride + pig manure,Yes,Yes,,,"This investigation was conducted at Sanxing Experimental Station (SES) on Chongming Island (31°41′20″N, 121°33′47″E, altitude ranging from 3.5–4.5 m), China, with a rice (Oryza sativa L.) – wheat (Triticum aestivum L.) cropping rotation system. The soil in the experimental field was estuarine alluvial soil, with 15.21 g·kg−1 soil organic matter, 0.94 g·kg−1 total N, 81.62 mg·kg−1 alkali-hydrolysable N, 53.53 mg·kg−1 available P, 109.35 mg·kg−1 available K, and pH 8.30. The straw returned in the wheat season was the rice straw harvested from the previous season (C/N = 53.11, in which the contents of cellulose, hemicellulose, and lignin were 36.43%, 22.52%, and 18.69%, respectively). The straw returned in the rice season was the wheat straw harvested from the previous season (C/N = 81.72, in which the contents of cellulose, hemicellulose, and lignin were 33.62%, 22.53%, and 18.45%, respectively). N, P and K were supplied through urea (N-46%), calcium superphosphate (P2O5–46%), and potassium chloride (K2O-60%). Organic fertilizer was decomposed pig manure. The contents of N, P, and K in the organic fertilizer were 10.52 mg·kg−1 N, 20.47 mg·kg−1 P2O5, and 15.13 mg·kg−1 K2O, respectively. The experiment began in October 2012 and included a total of nine treatments combining different tillage systems, fertilization types, and the presence/absence of straw return (Table 1). Each treatment included three replications and was set up in a single-factor random block design. Each plot was 40 m long and 6 m wide, with an area of 240 m2. The ridges between the plots and the irrigation/ drainage ditch ridges between the blocks were separated by plastic film. The chemical fertilizer application rates in the rice season were 225 kg·hm−2 N, 90 kg·hm−2 P2O5, and 90 kg·hm−2 K2O, and the application rates in the wheat season were 270 kg·hm−2 N, 60 kg·hm−2 P2O5, and 90 kg·hm−2 K2O. The application rate of organic fertilizer was 12,500 kg·hm−2 in both the rice and wheat seasons. Straw, organic fertilizer, P fertilizer, and K fertilizer as base fertilizers were applied once before planting in each crop season. The N fertilizer included two parts, base fertilizer and topdressing. To each plot, 60% of the N and all of the P, K and organic fertilizers were applied before sowing in the rice season. The remaining N was applied in two equal parts 20 and 60 days after sowing. In the wheat season, 60% of the N and all of the P, K and organic fertilizers were applied before sowing. The remaining N was applied in equal amounts 10, 30 and 60 days after sowing. Field management and pest control were performed according to the local management routines. The soil samples were collected in September 2012 before the start of the experiment. During the experiment, soil samples were collected in the topsoil (0–20 cm) and subsoil (20–40 cm) by a 5-cm-diameter corer in each plot after the wheat harvest (in June 2013, June 2014, and June 2015) and after the rice harvest (in November 2013, November 2014, and November 2015). ",11400,10700,-0.0614,No,,,5,9,838.1,440.514,397.586,24.72,31.38759,17.53496,Loam
Song,Scientific Reports,2019,China,Chongming Island,31.68,121.56,Estuarine alluvial soil,8.3,3,rice,2012,2015,2015,4,to 11,No,No,rice-wheat,,No,Yes,removed,straw returned,Yes,Yes,pest controled,pest controled,Yes,Yes,Yes,,urea + superphosphate + potasium chloride + pig manure,Yes,Yes,,,"This investigation was conducted at Sanxing Experimental Station (SES) on Chongming Island (31°41′20″N, 121°33′47″E, altitude ranging from 3.5–4.5 m), China, with a rice (Oryza sativa L.) – wheat (Triticum aestivum L.) cropping rotation system. The soil in the experimental field was estuarine alluvial soil, with 15.21 g·kg−1 soil organic matter, 0.94 g·kg−1 total N, 81.62 mg·kg−1 alkali-hydrolysable N, 53.53 mg·kg−1 available P, 109.35 mg·kg−1 available K, and pH 8.30. The straw returned in the wheat season was the rice straw harvested from the previous season (C/N = 53.11, in which the contents of cellulose, hemicellulose, and lignin were 36.43%, 22.52%, and 18.69%, respectively). The straw returned in the rice season was the wheat straw harvested from the previous season (C/N = 81.72, in which the contents of cellulose, hemicellulose, and lignin were 33.62%, 22.53%, and 18.45%, respectively). N, P and K were supplied through urea (N-46%), calcium superphosphate (P2O5–46%), and potassium chloride (K2O-60%). Organic fertilizer was decomposed pig manure. The contents of N, P, and K in the organic fertilizer were 10.52 mg·kg−1 N, 20.47 mg·kg−1 P2O5, and 15.13 mg·kg−1 K2O, respectively. The experiment began in October 2012 and included a total of nine treatments combining different tillage systems, fertilization types, and the presence/absence of straw return (Table 1). Each treatment included three replications and was set up in a single-factor random block design. Each plot was 40 m long and 6 m wide, with an area of 240 m2. The ridges between the plots and the irrigation/ drainage ditch ridges between the blocks were separated by plastic film. The chemical fertilizer application rates in the rice season were 225 kg·hm−2 N, 90 kg·hm−2 P2O5, and 90 kg·hm−2 K2O, and the application rates in the wheat season were 270 kg·hm−2 N, 60 kg·hm−2 P2O5, and 90 kg·hm−2 K2O. The application rate of organic fertilizer was 12,500 kg·hm−2 in both the rice and wheat seasons. Straw, organic fertilizer, P fertilizer, and K fertilizer as base fertilizers were applied once before planting in each crop season. The N fertilizer included two parts, base fertilizer and topdressing. To each plot, 60% of the N and all of the P, K and organic fertilizers were applied before sowing in the rice season. The remaining N was applied in two equal parts 20 and 60 days after sowing. In the wheat season, 60% of the N and all of the P, K and organic fertilizers were applied before sowing. The remaining N was applied in equal amounts 10, 30 and 60 days after sowing. Field management and pest control were performed according to the local management routines. The soil samples were collected in September 2012 before the start of the experiment. During the experiment, soil samples were collected in the topsoil (0–20 cm) and subsoil (20–40 cm) by a 5-cm-diameter corer in each plot after the wheat harvest (in June 2013, June 2014, and June 2015) and after the rice harvest (in November 2013, November 2014, and November 2015). ",13100,11700,-0.1069,No,,,5,9,838.1,440.514,397.586,24.72,31.38759,17.53496,Loam
Soon and Arshad,Canadian Journal of Soil Science,2004,Canada,"Alberta, Beaverlodge",55.18,-119.53,clay loam,5.1,4,barley.spring,1991,1999,1999,9,spring,Yes,Yes,pea-bearley-canola,,Mixed,Mixed,incorporated/removed,straw retained/removed,Yes,Yes,tillage,herbicide,Yes,Yes,Yes,22.5,urea + 15-20 kg P ha-1 as monoammonium phosphate,,,,,"The soil, a Hythe clay loam (Odynsky et al. 1961), is a Gray Luvisol (a fine montmorollinitic, frigid Mollic Cryoboralf in the USDA soil taxonomy). The surface (0–15 cm) soil pH (in 0.01 M CaCl2) was 5.1 at initiation of the study, however, 0.02 M CaCl2-soluble Al [determined according to Webber et al. (1977)] was <0.05 mg L–1. The organic C concentration was 32 g kg–1, and base saturation was 82%. Annual temperature and precipitation of the area average 2°C and 452 mm, respectively. Moisture deficit is usually the growth-limiting factor for the region. The experiment started in 1991 as a 2 ×2 ×2 factorial, randomized complete block design with four replications to study the effect of lime (0 vs. 7.5 Mg ha–1) and tillage practices (NT vs. CT) on crop production under two crop rotations (pea-barley-barley vs. canola-barley-barley). Weeds in NT plots were killed with glyphosate (N-(phosphonomethyl)glycine) prior to seeding. In 1997, the crop rotations were changed to a single rotation comprising a pea-barley-canola sequence. This entailed aligning the three new subplots (each 5 m by 18 m) that now comprised the three crop phases of the new rotation across the previous six subplots. This was the straw removed (–straw) vs. straw retained (+straw) comparison made possible by reducing the replications per treatment to two. Each spring barley received 22.5 kg N ha–1 and canola 65 to 68 kg N ha–1. Monoammonium phosphate was placed with the seed at a rate of 15 to 20 kg P ha–1. The balance of the N fertilizer was banded below and beside the seed row as urea. Sulphur was applied to pea and canola at 11 to 17 kg S ha–1 as potassium sulphate. Field pea was inoculated with Rhizobium in a granular-based carrier, and received no N other than that co-applied in ammonium phosphate fertilizer.  ",2000,2240,0.12,Yes,,,5,9,216.7,359.044,-142.344,9.56,21.58625,0.23129,Clay loam
Soon and Arshad,Canadian Journal of Soil Science,2004,Canada,"Alberta, Beaverlodge",55.18,-119.53,clay loam,5.1,4,barley.spring,1991,1999,1999,9,spring,Yes,Yes,pea-bearley-canola,,Mixed,Mixed,incorporated/removed,straw retained/removed,Yes,Yes,tillage,herbicide,Yes,Yes,Yes,22.5,urea + 15-20 kg P ha-1 as monoammonium phosphate,,,,,"The soil, a Hythe clay loam (Odynsky et al. 1961), is a Gray Luvisol (a fine montmorollinitic, frigid Mollic Cryoboralf in the USDA soil taxonomy). The surface (0–15 cm) soil pH (in 0.01 M CaCl2) was 5.1 at initiation of the study, however, 0.02 M CaCl2-soluble Al [determined according to Webber et al. (1977)] was <0.05 mg L–1. The organic C concentration was 32 g kg–1, and base saturation was 82%. Annual temperature and precipitation of the area average 2°C and 452 mm, respectively. Moisture deficit is usually the growth-limiting factor for the region. The experiment started in 1991 as a 2 ×2 ×2 factorial, randomized complete block design with four replications to study the effect of lime (0 vs. 7.5 Mg ha–1) and tillage practices (NT vs. CT) on crop production under two crop rotations (pea-barley-barley vs. canola-barley-barley). Weeds in NT plots were killed with glyphosate (N-(phosphonomethyl)glycine) prior to seeding. In 1997, the crop rotations were changed to a single rotation comprising a pea-barley-canola sequence. This entailed aligning the three new subplots (each 5 m by 18 m) that now comprised the three crop phases of the new rotation across the previous six subplots. This was the straw removed (–straw) vs. straw retained (+straw) comparison made possible by reducing the replications per treatment to two. Each spring barley received 22.5 kg N ha–1 and canola 65 to 68 kg N ha–1. Monoammonium phosphate was placed with the seed at a rate of 15 to 20 kg P ha–1. The balance of the N fertilizer was banded below and beside the seed row as urea. Sulphur was applied to pea and canola at 11 to 17 kg S ha–1 as potassium sulphate. Field pea was inoculated with Rhizobium in a granular-based carrier, and received no N other than that co-applied in ammonium phosphate fertilizer.  ",4400,5450,0.2386,Yes,,,5,9,216.7,359.044,-142.344,9.56,21.58625,0.23129,Clay loam
Soon et al.,Nutrient Cycling Agroecosystems,2011,Canada,"Alberta, Beaverlodge",55.18,-119.53,Gray Luvisolic,5.8,4,barley.spring,2004,2007,2007,4,5 to 8,Yes,Yes,barley-wheat-canola,,,,,,,,,,Yes,Yes,Yes,,urea + PCU,,,,,"Two field experiments were conducted near Beaverlodge (2004–2007), Alberta (55o 11'N, 119o 32'W), and Star City (2004–2006), Saskatchewan (52o 81'N, 104o 51'W), on Dark Gray Luvisolic soils (Typic Cryoboralf). At Beaverlodge, the soil had a loam to clay loam texture, a pH of 5.8, and contained 29 g organic C kg-1 and 3.1 g total N kg-1 soil in the top 15 cm. At Star City, the soil was a clay loam, had a pH of 6.3, and contained 38 g organic C kg-1 and 3.0 g total N kg-1 soil in the top 15 cm. For this site, the mean annual precipitation is 425 mm and growing season (May–August) precipitation is 244 mm. The mean annual and growing season precipitations at Beaverlodge are 468 and 247 mm, respectively. Tillage systems (CT and NT) were assigned to the main plots; combinations of type of N fertilizer (urea and PCU), time of application (spring-banded [SB] or fall-banded [FB]), and N rates (0–90 kg N ha-1) were applied to the subplots. Nitrogen application rates were: 0, 0.5x 1.0x and 1.5x where the base rate x = 60 kg Nha-1 at Star City for all three experimental years, and at Beaverlodge, x = 60 kg N ha-1 in 2004 and 2007, 50 kg N ha-1 in 2005 and 55 kg N ha-1 in 2006. At Star City, wheat was grown in 2004, canola in 2005, barley in 2006; at Beaverlodge, barley was grown in 2004 and 2007, canola in 2005, and wheat in 2006. ",2830,2973,0.0505,Yes,,,5,9,312.2,371.171,-58.971,11.1,23.69311,1.55262,Clay loam
Soon et al.,Nutrient Cycling Agroecosystems,2011,Canada,"Alberta, Beaverlodge",55.18,-119.53,Gray Luvisolic,5.8,4,barley.spring,2004,2007,2007,4,5 to 8,Yes,Yes,barley-wheat-canola,,,,,,,,,,Yes,Yes,Yes,,urea + PCU,,,,,"Two field experiments were conducted near Beaverlodge (2004–2007), Alberta (55o 11'N, 119o 32'W), and Star City (2004–2006), Saskatchewan (52o 81'N, 104o 51'W), on Dark Gray Luvisolic soils (Typic Cryoboralf). At Beaverlodge, the soil had a loam to clay loam texture, a pH of 5.8, and contained 29 g organic C kg-1 and 3.1 g total N kg-1 soil in the top 15 cm. At Star City, the soil was a clay loam, had a pH of 6.3, and contained 38 g organic C kg-1 and 3.0 g total N kg-1 soil in the top 15 cm. For this site, the mean annual precipitation is 425 mm and growing season (May–August) precipitation is 244 mm. The mean annual and growing season precipitations at Beaverlodge are 468 and 247 mm, respectively. Tillage systems (CT and NT) were assigned to the main plots; combinations of type of N fertilizer (urea and PCU), time of application (spring-banded [SB] or fall-banded [FB]), and N rates (0–90 kg N ha-1) were applied to the subplots. Nitrogen application rates were: 0, 0.5x 1.0x and 1.5x where the base rate x = 60 kg Nha-1 at Star City for all three experimental years, and at Beaverlodge, x = 60 kg N ha-1 in 2004 and 2007, 50 kg N ha-1 in 2005 and 55 kg N ha-1 in 2006. At Star City, wheat was grown in 2004, canola in 2005, barley in 2006; at Beaverlodge, barley was grown in 2004 and 2007, canola in 2005, and wheat in 2006. ",2613,2458,-0.0593,No,,,5,9,312.2,371.171,-58.971,11.1,23.69311,1.55262,Clay loam
